Country/Area,Item1,Purpose,Year,Overnight Stays
Australia,Yamagata,Overall,2023,"3,990"
Australia,Yamaguchi,Overall,2021,130
Australia,Yamaguchi,Overall,2022,90
Australia,Yamaguchi,Overall,2023,750
Australia,Yamanashi,Overall,2021,20
Australia,Yamanashi,Overall,2022,"2,900"
Australia,Yamanashi,Overall,2023,"37,730"
Canada,Aichi,Overall,2021,850
Canada,Aichi,Overall,2022,"2,190"
Canada,Aichi,Overall,2023,"21,160"
Canada,Akita,Overall,2021,10
Canada,Akita,Overall,2022,140
Canada,Akita,Overall,2023,"1,100"
Canada,Aomori,Overall,2021,80
Canada,Aomori,Overall,2022,250
Canada,Aomori,Overall,2023,"2,490"
Canada,Chiba,Overall,2021,"9,700"
Canada,Chiba,Overall,2022,"14,480"
Canada,Chiba,Overall,2023,"59,520"
Canada,Ehime,Overall,2021,90
Canada,Ehime,Overall,2022,290
Canada,Ehime,Overall,2023,"1,370"
Canada,Fukui,Overall,2021,10
Canada,Fukui,Overall,2022,50
Canada,Fukui,Overall,2023,470
Canada,Fukuoka,Overall,2021,660
Canada,Fukuoka,Overall,2022,"3,520"
Canada,Fukuoka,Overall,2023,"25,970"
Canada,Fukushima,Overall,2021,170
Canada,Fukushima,Overall,2022,220
Canada,Fukushima,Overall,2023,930
Canada,Gifu,Overall,2021,"1,750"
Canada,Gifu,Overall,2022,850
Canada,Gifu,Overall,2023,"6,910"
Canada,Gunma,Overall,2021,20
Canada,Gunma,Overall,2022,250
Canada,Gunma,Overall,2023,"3,790"
Canada,Hiroshima,Overall,2021,170
Canada,Hiroshima,Overall,2022,"1,560"
Canada,Hiroshima,Overall,2023,"23,550"
Canada,Hokkaido,Overall,2021,"1,020"
Canada,Hokkaido,Overall,2022,"4,090"
Canada,Hokkaido,Overall,2023,"35,410"
Canada,Hyogo,Overall,2021,50
Canada,Hyogo,Overall,2022,"1,800"
Canada,Hyogo,Overall,2023,"12,110"
Canada,Ibaraki,Overall,2021,30
Canada,Ibaraki,Overall,2022,330
Canada,Ibaraki,Overall,2023,"2,340"
Canada,Ishikawa,Overall,2021,20
Canada,Ishikawa,Overall,2022,"1,570"
Canada,Ishikawa,Overall,2023,"20,950"
Canada,Iwate,Overall,2021,580
Canada,Iwate,Overall,2022,150
Canada,Iwate,Overall,2023,"1,780"
Canada,Kagawa,Overall,2021,50
Canada,Kagawa,Overall,2022,390
Canada,Kagawa,Overall,2023,"2,890"
Canada,Kagoshima,Overall,2021,50
Canada,Kagoshima,Overall,2022,600
Canada,Kagoshima,Overall,2023,"3,940"
Canada,Kanagawa,Overall,2021,800
Canada,Kanagawa,Overall,2022,"5,200"
Canada,Kanagawa,Overall,2023,"52,570"
Canada,Kochi,Overall,2021,10
Canada,Kochi,Overall,2022,60
Canada,Kochi,Overall,2023,920
Canada,Kumamoto,Overall,2021,20
Canada,Kumamoto,Overall,2022,520
Canada,Kumamoto,Overall,2023,"4,940"
Canada,Kyoto,Overall,2021,490
Canada,Kyoto,Overall,2022,"22,220"
Canada,Kyoto,Overall,2023,"242,690"
Canada,Mie,Overall,2021,420
Canada,Mie,Overall,2022,380
Canada,Mie,Overall,2023,"1,740"
Canada,Miyagi,Overall,2021,240
Canada,Miyagi,Overall,2022,420
Canada,Miyagi,Overall,2023,"4,910"
Canada,Miyazaki,Overall,2021,50
Canada,Miyazaki,Overall,2022,130
Canada,Miyazaki,Overall,2023,750
Canada,Nagano,Overall,2021,40
Canada,Nagano,Overall,2022,"1,150"
Canada,Nagano,Overall,2023,"10,270"
Canada,Nagasaki,Overall,2021,220
Canada,Nagasaki,Overall,2022,280
Canada,Nagasaki,Overall,2023,"2,860"
Canada,Nara,Overall,2021,40
Canada,Nara,Overall,2022,420
Canada,Nara,Overall,2023,"4,490"
Canada,Niigata,Overall,2021,"1,800"
Canada,Niigata,Overall,2022,310
Canada,Niigata,Overall,2023,"2,590"
Canada,Oita,Overall,2021,30
Canada,Oita,Overall,2022,330
Canada,Oita,Overall,2023,"3,750"
Canada,Okayama,Overall,2021,220
Canada,Okayama,Overall,2022,730
Canada,Okayama,Overall,2023,"4,130"
Canada,Okinawa,Overall,2021,160
Canada,Okinawa,Overall,2022,"4,270"
Canada,Okinawa,Overall,2023,"18,660"
Canada,Osaka,Overall,2021,850
Canada,Osaka,Overall,2022,"17,070"
Canada,Osaka,Overall,2023,"218,550"
Canada,Saga,Overall,2021,10
Canada,Saga,Overall,2022,90
Canada,Saga,Overall,2023,570
Canada,Saitama,Overall,2021,250
Canada,Saitama,Overall,2022,300
Canada,Saitama,Overall,2023,"1,770"
Canada,Shiga,Overall,2021,20
Canada,Shiga,Overall,2022,230
Canada,Shiga,Overall,2023,"2,250"
Canada,Shimane,Overall,2021,10
Canada,Shimane,Overall,2022,90
Canada,Shimane,Overall,2023,450
Canada,Shizuoka,Overall,2021,"1,660"
Canada,Shizuoka,Overall,2022,"1,230"
Canada,Shizuoka,Overall,2023,"10,380"
Canada,Tochigi,Overall,2021,40
Canada,Tochigi,Overall,2022,860
Canada,Tochigi,Overall,2023,"4,250"
Canada,Tokushima,Overall,2021,20
Canada,Tokushima,Overall,2022,190
Canada,Tokushima,Overall,2023,"1,240"
Canada,Tokyo,Overall,2021,"29,630"
Canada,Tokyo,Overall,2022,"97,510"
Canada,Tokyo,Overall,2023,"862,680"
Canada,Tottori,Overall,2021,10
Canada,Tottori,Overall,2022,60
Canada,Tottori,Overall,2023,490
Canada,Toyama,Overall,2021,20
Canada,Toyama,Overall,2022,170
Canada,Toyama,Overall,2023,"1,430"
Canada,Wakayama,Overall,2021,20
Canada,Wakayama,Overall,2022,290
Canada,Wakayama,Overall,2023,"2,470"
Canada,Yamagata,Overall,2021,40
Canada,Yamagata,Overall,2022,230
Canada,Yamagata,Overall,2023,"1,380"
Canada,Yamaguchi,Overall,2021,0
Canada,Yamaguchi,Overall,2022,100
Canada,Yamaguchi,Overall,2023,610
Canada,Yamanashi,Overall,2021,150
Canada,Yamanashi,Overall,2022,"1,020"
Canada,Yamanashi,Overall,2023,"11,120"
China,Aichi,Overall,2021,"9,170"
China,Aichi,Overall,2022,"25,670"
China,Aichi,Overall,2023,"267,780"
China,Akita,Overall,2021,490
China,Akita,Overall,2022,"1,270"
China,Akita,Overall,2023,"8,290"
China,Aomori,Overall,2021,950
China,Aomori,Overall,2022,"2,580"
China,Aomori,Overall,2023,"29,100"
China,Chiba,Overall,2021,"75,250"
China,Chiba,Overall,2022,"70,720"
China,Chiba,Overall,2023,"305,430"
China,Ehime,Overall,2021,"2,990"
China,Ehime,Overall,2022,"1,210"
China,Ehime,Overall,2023,"13,400"
China,Fukui,Overall,2021,560
China,Fukui,Overall,2022,620
China,Fukui,Overall,2023,"5,100"
China,Fukuoka,Overall,2021,"5,550"
China,Fukuoka,Overall,2022,"26,930"
China,Fukuoka,Overall,2023,"322,140"
China,Fukushima,Overall,2021,"1,480"
China,Fukushima,Overall,2022,"2,200"
China,Fukushima,Overall,2023,"14,040"
China,Gifu,Overall,2021,"2,200"
China,Gifu,Overall,2022,"2,450"
China,Gifu,Overall,2023,"37,850"
